,Cordon,Filename,Label
2710,c00,_1536_1024_20210531_10553-C00_OK.jpg,0
1582,c00,_256_3584_20210531_11274_1-C00_OK.jpg,0
640,c00,_256_3328_20210531_10540-C00_OK.jpg,0
845,c00,_0_2816_20210525_14432_2-C00_RETOUCHE.jpg,1
1220,c00,_1536_768_20210531_11201_3-C00_RETOUCHE.jpg,1
282,c00,_1024_1280_20210531_10552-C00_OK.jpg,0
1577,c00,_1792_768_20210531_11274-C00_OK.jpg,0
1282,c00,_0_0_20210531_17293_2-C00_RETOUCHE.jpg,1
245,c00,_512_2304_20210525_15395-C00_OK.jpg,0
704,c00,_1962_2560_20210525_14495_1-C00_RETOUCHE.jpg,1
619,c00,_512_3072_20210531_10521_0-C00_RETOUCHE.jpg,1
2070,c00,_512_2560_20210525_15434-C00_OK.jpg,0
1131,c00,_512_256_20210531_10551-C00_OK.jpg,0
2480,c00,_1536_1792_20210531_10554_3-C00_RETOUCHE.jpg,1
2692,c00,_1024_2304_20210525_15175_2-C00_RETOUCHE.jpg,1
69,c00,_1280_3328_20210525_154-C00_OK.jpg,0
1193,c00,_0_4352_20210525_15441_2-C00_OK.jpg,0
659,c00,_512_2304_20210531_10521_3-C00_RETOUCHE.jpg,1
367,c00,_1962_3840_20210531_11274_0-C00_OK.jpg,0
2927,c00,_1536_768_20210531_111-C00_OK.jpg,0
240,c00,_1024_1280_20210531_11254-C00_OK.jpg,0
1740,c00,_1024_768_20210531_11201_2-C00_RETOUCHE.jpg,1
290,c00,_0_1280_20210531_10553-C00_OK.jpg,0
2840,c00,_1536_1792_20210525_15441-C00_OK.jpg,0
2704,c00,_512_4352_20210525_13375-C00_OK.jpg,0
1290,c00,_1962_768_20210525_15395-C00_OK.jpg,0
1021,c00,_1024_2816_20210531_10554_0-C00_RETOUCHE.jpg,1
269,c00,_1280_3328_20210525_15150-C00_RETOUCHE.jpg,1
2722,c00,_1536_2816_20210525_14462_1-C00_RETOUCHE.jpg,1
457,c00,_3584_1024_20210531_17301_2-C00_RETOUCHE.jpg,1
1501,c00,_512_512_20210525_15434-C00_OK.jpg,0
1828,c00,_1024_2304_20210531_11192-C00_OK.jpg,0
2675,c00,_256_1792_20210531_11192-C00_OK.jpg,0
1785,c00,_256_4352_20210531_11254-C00_OK.jpg,0
2432,c00,_1280_4096_20210531_11271_2-C00_RETOUCHE.jpg,1
2700,c00,_1792_256_20210531_10552-C00_OK.jpg,0
1625,c00,_0_3584_20210531_17293_0-C00_RETOUCHE.jpg,1
1294,c00,_1536_2560_20210525_13375_3-C00_RETOUCHE.jpg,1
2567,c00,_1024_2304_20210525_13375_1-C00_RETOUCHE.jpg,1
2436,c00,_1536_3584_20210531_11274_2-C00_OK.jpg,0
2171,c00,_1024_2304_20210525_13375_3-C00_RETOUCHE.jpg,1
2565,c00,_768_256_20210525_15393_2-C00_RETOUCHE.jpg,1
2203,c00,_1024_2304_20210525_13375_0-C00_RETOUCHE.jpg,1
1208,c00,_1024_1024_20210525_14432_0-C00_RETOUCHE.jpg,1
1000,c00,_1024_768_20210531_11201_3-C00_RETOUCHE.jpg,1
2180,c00,_1280_3840_65-C00_OK.jpg,0
2158,c00,_1536_256_20210531_11254-C00_OK.jpg,0
1108,c00,_512_2048_20210525_15441-C00_OK.jpg,0
2033,c00,_1024_256_20210531_17292_1-C00_RETOUCHE.jpg,1
1939,c00,_1962_2560_20210525_14495_3-C00_RETOUCHE.jpg,1
400,c00,_1962_1024_20210531_10545-C00_OK.jpg,0
